,name,region,Published,End
5265,RE-ROOFING AND SIDING REPAIR OF THE BRUNSWICK AREA TELEVISION OFFICE,Ohio,06/24/2021,07/15/2021
5266,Legal Services (Construction),California,06/24/2021,07/15/2021
5267,TWO YEAR CONTRACT FOR A SUPPLY OF SODIUM HYPOCHLORITE SOLUTION,Louisiana,06/24/2021,07/08/2021
5268,ANNUAL AERODROME GSE VEHICLE PERMIT SAFETY INSPECTION,Massachusetts,06/24/2021,07/12/2021
5269,ERP REPLACEMENT CONSULTANT,Illinois,06/24/2021,07/15/2021
5270,HVAC Trainer (TCAT Livingston),Tennessee,06/24/2021,07/14/2021
5271,"RE-1 SCHOOL SAFETY SYSTEMS, TRAINING, AND SUPPORT",Colorado,06/24/2021,07/15/2021
5272,Request for Qualifications for Construction Manager-at-Risk Services for the New Active Adult Center Facility,Texas,06/24/2021,07/22/2021
5273,UNIFORMS PURCHASE,Missouri,06/24/2021,07/14/2021
5274,SECURITY BARRIERS (COURTHOUSE),Michigan,06/24/2021,07/08/2021
5275,LEASE PURCHASE,New Jersey,06/24/2021,07/14/2021
5276,2021 Asset Chemical Package,Illinois,06/24/2021,07/13/2021
5277,Thurston Woods Park RFQ,Michigan,06/24/2021,07/12/2021
5278,PURCHASE KIFCO WATER REEL AND NELSON SPRINKLER GUN,Connecticut,06/24/2021,07/08/2021
5279,Comprehensive Disparity Study,Florida,06/24/2021,07/08/2021
5280,PROCESS SAFETY MANAGEMENT INVESTIGATION FOR NEW STATE ROAD TREATMENT FACILITY,Connecticut,06/24/2021,07/21/2021
5281,Sidewalk Participation Program 2021,Illinois,06/24/2021,07/15/2021
5282,Herbicide Control at Four Forest Preserves,Illinois,06/24/2021,07/15/2021
5283,FY2021 NJDOT Trust Fund Reconstruction of 8th Street - Phase 2,New Jersey,06/24/2021,07/13/2021
5284,2021 Fifth Street Bridge Maintenance Project 66505,Minnesota,06/24/2021,07/15/2021
5285,Herbicide Application Service,Texas,06/24/2021,07/15/2021
5286,DAIKIN HVAC REPAIR & MAINTENANCE,New Jersey,06/24/2021,07/15/2021
5287,Canterbury Arms Parking Lot Reconstruction 165 East Main Street,Massachusetts,06/24/2021,07/15/2021
5288,Promotional Item Online Store,Florida,06/24/2021,07/15/2021
5289,USC Upstate Mechanical Upg- Boiler Installation,South Carolina,06/24/2021,07/15/2021
5290,Paved parking lot replacement,Massachusetts,06/24/2021,07/15/2021
5291,McGee Road/Warner Road paving,Massachusetts,06/24/2021,07/15/2021
5292,Jones Park Restroom Facility,Iowa,06/24/2021,07/14/2021
5293,"Fall Athletic Awards, Equipment, Supplies and Uniforms",New Jersey,06/24/2021,07/07/2021
5294,NORTH LITTLE ROCK ELECTRIC MURRAY HYDROELECTRIC DREDGING PROJECT,Arkansas,06/24/2021,07/08/2021
5295,Fresh Produce,Utah,06/24/2021,07/08/2021
5296,Propane Supplier,Ohio,06/24/2021,07/08/2021
5297,ZONAR Annual Fleet Tracking Services,Utah,06/24/2021,07/01/2021
5298,"Install approximately 950 tons of 2"" Hot Mix Asphalt surface course with tack coat on McGee Road and",Massachusetts,06/24/2021,07/15/2021
5299,LANDSCAPE AND IRRIGATION MAINTENANCE FOR VARIOUS DISTRICT AREAS,Florida,06/24/2021,07/28/2021
5300,Traffic Control Signs,Tennessee,06/24/2021,07/08/2021
5301,Drainage Pipe and Associated Materials,Tennessee,06/24/2021,07/06/2021
5302,FURNISHING OF COMPREHENSIVE TRAFFIC SAFETY PROGRAM AND ADMINISTRATIVE SERVICES,New Jersey,06/24/2021,07/15/2021
5303,Village of Frankfort - 2021 Sanitary Sewer System Television Inspection,Illinois,06/24/2021,07/14/2021
5304,Public Nursing Services RFP,Massachusetts,06/24/2021,07/15/2021
5305,Cathy Assad Park Renovations,Massachusetts,06/24/2021,07/15/2021
5306,Crushed Stone,Tennessee,06/24/2021,07/06/2021
5307,"FURNISHING OF RECYCLING SERVICES OF BRUSH, STUMPS AND LOGS",New Jersey,06/24/2021,07/15/2021
5308,Credit Bureau Check,Wisconsin,06/24/2021,07/01/2021
5309,"Fencing Removal & Replacement, Joseph D. Grant County Park",California,06/24/2021,07/29/2021
5310,COMPUTER SOFTWARE SYSTEM WITH CLOUD-BASED AND CENTRALIZED WEB-BASED CAPABILITIES,New Jersey,06/24/2021,07/14/2021
5311,"Refuse and trash collection, removal, and disposal services for Inks Lake State Park",Texas,06/24/2021,07/14/2021
5312,"BID PACKAGE No. 14, New Coal Shed Replacement",Florida,06/24/2021,07/27/2021
5313,"Bituminous Paving, Cold Planing, Adjust Castings and Install ADA Ramps",Massachusetts,06/24/2021,07/12/2021
5314,"Year 12: cleaning and relining, water systems improvement",Massachusetts,06/24/2021,07/08/2021
5315,Water Main Improvements,Massachusetts,06/24/2021,07/09/2021
5316,Construction of approximately 95 linear feet of temporary bank stabilization along the Hoosic River east of the intersection of North St. (Rt. 7) and Syndicate Road,Massachusetts,06/24/2021,07/08/2021
5317,Sign Replacements at BURLINGTON COUNTY INSTITUTE OF TECHNOLOGY and BURLINGTON COUNTY SPECIAL SERVICES SCHOOL,New Jersey,06/24/2021,07/08/2021
5318,2021 Water Main Improvement Project,Massachusetts,06/24/2021,07/15/2021
5319,Well I Redevelopment,Massachusetts,06/24/2021,07/08/2021
5320,Laundry/Linen Services (HCPC and DBSC),Texas,06/24/2021,07/29/2021
5321,Flannery Playground Improvement Project,Massachusetts,06/24/2021,07/19/2021
5322,2021 Half Moon Booster Station Generator (RE-BID),North Carolina,06/24/2021,07/07/2021
5323,Installation of Linoleum Flooring at Braintree High School,Massachusetts,06/24/2021,07/07/2021
5324,SOCCER/CROSS COUNTY TRIPS,New Jersey,06/24/2021,07/13/2021
5325,Removal and disposal of damaged guardrails at various location in Sudbury and replacement with new guardrail of like material,Massachusetts,06/24/2021,07/08/2021
5326,D-Wing First Floor Access Control Installation,New Jersey,06/24/2021,07/13/2021
5327,Milling & Resurfacing Whippany Road (C.R. 511),New Jersey,06/24/2021,07/13/2021
5328,Owner’s Project Manager (OPM-1),Massachusetts,06/24/2021,07/08/2021
5329,Provide Elevator Maintenance and Repair Service Town-Wide,Massachusetts,06/24/2021,07/07/2021
5330,Wet Well Cleaning,Massachusetts,06/24/2021,07/08/2021
5331,Qty 4 - RSLOGIX 5000 Standard Edition Software by Allen-Bradley / Rockwell Automation (AB 9324-RLD300ENE) One Year RSLogix 5000 Standard Edition Software by Allen-Bradley / Rockwell Automation,New Jersey,06/24/2021,07/08/2021
5332,Window Replacement,Massachusetts,06/24/2021,07/19/2021
5333,Primary Metering Cabinets,Massachusetts,06/24/2021,07/15/2021
5334,Demolition of house 278 Burts Pit Rd. Northampton,Massachusetts,06/24/2021,07/13/2021
5335,Skinner West Chiller Repair,Illinois,06/24/2021,07/06/2021
5336,Bid for: Flowable Fill,Massachusetts,06/24/2021,07/06/2021
5337,Integrated Wildland Fire Management,Massachusetts,06/24/2021,07/14/2021
5338,MBTS 2021 Watermain Improvements Project,Massachusetts,06/24/2021,07/15/2021
5339,Installation of 1600 ft of ductile iron water main,Massachusetts,06/24/2021,07/15/2021
5340,Water Treatment Chemicals,Massachusetts,06/24/2021,07/06/2021
5341,Bid for: Removal of Tree Waste,Massachusetts,06/24/2021,07/06/2021
5342,.27 mile road reconstruction Pleasant St. Nothampton,Massachusetts,06/24/2021,07/09/2021
5343,Reconstruction of various roadways in Southborough,Massachusetts,06/24/2021,07/15/2021
5344,OPM Services,Massachusetts,06/24/2021,07/08/2021
5345,Roadway Paint,Massachusetts,06/24/2021,07/07/2021
5346,CATCH BASIN CLEANING SERVICES,Massachusetts,06/24/2021,07/06/2021
5347,"FIRE DAMAGED UNITS, 26022 EAST 9TH STREET",California,06/24/2021,08/12/2021
5348,Uniform Promotional Assessment,Arkansas,06/24/2021,07/14/2021
5349,BEHAVIOR CONSULTATION SERVICES,New Jersey,06/24/2021,07/15/2021
5350,Lowboy Trailer for DOC,Louisiana,06/24/2021,07/15/2021
5351,Fire Alarm Inspection,Tennessee,06/24/2021,07/15/2021
5352,Mobile App (IOS and Android),Illinois,06/24/2021,07/15/2021
5353,"Replacement of approximately 1,180 feet of existing water main; 1,185 feet of low pressure sewer; 515 feet of drainage pipe and roadway improvements",Massachusetts,06/24/2021,07/15/2021
5354,2021 SHARED SERVICES RESURFACING PROGRAM,New Jersey,06/24/2021,07/08/2021
5355,Central Office Lobby Remodel,California,06/24/2021,07/15/2021
5356,School safety training and coordination services,Colorado,06/24/2021,07/15/2021
5357,Emergency Repair and Replacement Project,Mississippi,06/24/2021,07/14/2021
5358,Printing Services for OTS/PSS,Louisiana,06/24/2021,07/29/2021
5359,LIFT STATION AND BLOWER CONTROLS ELECTRIC PANELS,Louisiana,06/24/2021,07/14/2021
5360,"DUCTILE, CAST IRON & STEEL FITTINGS",Massachusetts,06/24/2021,07/06/2021
5361,Crossing Guard Services,California,06/24/2021,07/14/2021
5362,Wayland Water Filtration Cartridge Replacement Project,Massachusetts,06/24/2021,07/05/2021
5363,430 WATER TRANSMISSION PIPELINE IMPROVEMENTS,Washington,06/24/2021,07/14/2021
5364,Retro-Reflectometers,Montana,06/24/2021,07/14/2021
5365,2020 Legacy Curb Ramps,Washington,06/24/2021,07/14/2021
5366,Historic Preservation Consulting Services,Nevada,06/24/2021,07/14/2021
5367,Grant Administrative Services,North Carolina,06/24/2021,07/14/2021
5368,Eastern Avenue Water Main Replacement,Massachusetts,06/24/2021,07/09/2021
5369,Window Coverings,Arkansas,06/24/2021,07/14/2021
5370,Engineering Services,North Carolina,06/24/2021,07/14/2021
5371,Lake Zumbro Dredging Project,Minnesota,06/24/2021,Not Stated
5372,Critical Assistance Program (CAP),Illinois,06/24/2021,07/14/2021
5373,Purchase of Natural Gas,Texas,06/24/2021,07/14/2021
5374,Mims Park – LED Lighting Upgrade,Alabama,06/24/2021,07/14/2021
5375,Aggregate - Glen Elder State park,Kansas,06/24/2021,07/14/2021
5376,Sewage Disposal System Upgrade,Massachusetts,06/24/2021,07/09/2021
5377,SOFFIT AND FASCIA REPAIR AND PAINTING,Massachusetts,06/24/2021,07/08/2021
5378,2021 Pump Station 38 / Rte. 31 Forcemain Repair,Illinois,06/24/2021,07/14/2021
5379,Improvements at the Police Gun Range Area,Alabama,06/24/2021,07/14/2021
5380,SCHEDULED MAINTENANCE CONTRACT FOR GENERATORS,Louisiana,06/24/2021,07/14/2021
5381,Graves St. Water Main Replacement,Massachusetts,06/24/2021,07/09/2021
5382,Santa Fe Trip,Massachusetts,06/24/2021,07/14/2021
5383,Perimeter Fencing at Rivers Edge Recreation Complex,Rhode Island,06/24/2021,07/14/2021
5384,Town Hall Roof Replacement,Massachusetts,06/24/2021,07/14/2021
5385,"Installation of 600 linear feet of bituminous sidewalk, two wheelchair ramps, and miscellaneous site improvements",Massachusetts,06/24/2021,07/13/2021
5386,Professional Services Hybrid Workplace Consultant,Florida,06/24/2021,07/14/2021
5387,Capehart Fluvial Geomorphology and Stream Restoration Reach A5 - Re-Bid,Maine,06/24/2021,07/14/2021
5388,Passenger Waiting Shelter,North Carolina,06/24/2021,07/14/2021
5389,Cape May County Division of Workforce Development Workforce Innovation and Opportunity Act Out-of-School Industry Focused Youth Programs Year 2021-2022,New Jersey,06/24/2021,07/14/2021
5390,GROUNDS MAINTENANCE SERVICES FOR UNIMPROVED PROPERTIES,North Carolina,06/24/2021,07/14/2021
5391,Pavement Overlay,Massachusetts,06/24/2021,07/14/2021
5392,GRAPHIC DESIGN SERVICES,New Jersey,06/24/2021,07/14/2021
5393,For the annual repair and maintenance of the City's LED streetlights,Massachusetts,06/24/2021,07/14/2021
5394,Richard DeCristofaro Learning Center,Massachusetts,06/24/2021,07/08/2021
5395,ENGINEERING SERVICES STREET REHABILITATION PROGRAM,Illinois,06/24/2021,07/14/2021
5396,Elgin High School Girls Field House Pavement Project,Texas,06/24/2021,07/06/2021
5397,"RFQ for Trade Contractors, Mass. Bay Community College, Health Science Center, Framingham",Massachusetts,06/24/2021,07/08/2021
5398,On-call Plumbing & Heating Services for,Massachusetts,06/24/2021,07/09/2021
5399,Administration Building heating oil tank removal,Massachusetts,06/24/2021,07/07/2021
5400,Security Guard Services - DCFS,Louisiana,06/24/2021,07/14/2021
5401,Security system installation,Massachusetts,06/24/2021,07/07/2021
5402,Concrete & CDF,Massachusetts,06/24/2021,07/07/2021
5403,Tree Removal,Massachusetts,06/24/2021,07/07/2021
5404,GMRSD Floor Tile Removal and Installation,Massachusetts,06/24/2021,07/07/2021
5405,MBTA Transit Signal Priority,Massachusetts,06/24/2021,07/07/2021
5406,2021 Municipal Road Program,New Jersey,06/24/2021,07/14/2021
5407,"Trade Contractors, Westfield State University, Renovate Parenzo Hall/Demo Mod Hall",Massachusetts,06/24/2021,07/13/2021
5408,"Provide On-call ( as needed) Carpet Replacement in vacant apartments for the Norwood Housing Authority. various locations, all in Norwood, MA",Massachusetts,06/24/2021,07/09/2021
5409,columbia st reconstruction,Massachusetts,06/24/2021,07/07/2021
5410,ONE TIME PURCHASE OF A VEHICLE TURBINE SOLIDS HANDLING PUMP AND MOTOR,Louisiana,06/24/2021,07/08/2021
5411,"ONE YEAR CONTRACT FOR THE SUPPLY OF COUPLINGS, RESTRAINING DEVICES &",Louisiana,06/24/2021,07/08/2021
5412,City & School Emergency Generator Annual Maintenence,Massachusetts,06/24/2021,07/07/2021
5413,Tree Control Services - Glen Elder WA,Kansas,06/24/2021,07/14/2021
5414,JANITORIAL SERVICES-LWC WOODDALE OFFICE,Louisiana,06/24/2021,07/08/2021
5415,Banking Depository Services,Texas,06/24/2021,07/14/2021
5416,2021 Street Paving Program,Ohio,06/24/2021,07/14/2021
5417,Seminole River Bank Armoring and Access Improvements (6250100-02),Iowa,06/24/2021,07/14/2021
5418,Large Valve Actuation (Package 1A),Oklahoma,06/24/2021,07/14/2021
5419,Areial Lift,New York,06/24/2021,07/14/2021
5420,Oklahoma City Zoo Train Relocation,Oklahoma,06/24/2021,07/14/2021
5421,School Lunch Program - Paper,Massachusetts,06/24/2021,07/14/2021
5422,2021 MICRO SURFACE PROJECT,Illinois,06/24/2021,07/14/2021
5423,Construction,Massachusetts,06/24/2021,07/08/2021
5424,Madison Elementary School Demolition,Oklahoma,06/24/2021,07/14/2021
5425,Investment Advisory Services,Texas,06/24/2021,07/14/2021
5426,Bortondale Pump Station Improvement Project (Part B - Pump Station Electrical Contract),Pennsylvania,06/24/2021,07/14/2021
5427,Bortondale Pump Station Improvement Project,Pennsylvania,06/24/2021,07/14/2021
5428,ON I-70E FROM 0.66 MILE WEST OF US 231 TO 0.58 MILE WEST OF SR 39,Indiana,06/24/2021,07/14/2021
5429,ON I-70 FROM 0.48 MILE WEST OF SR 59 TO 6.4 MILES EAST OF SR 59,Indiana,06/24/2021,07/14/2021
5430,PROVIDE INVESTIGATIVE SERVICES TO MINIMIZE LOSSES TO THE PARISH,Louisiana,06/24/2021,07/07/2021
5431,2022-2024 Atwater Beach Lifeguard Services,Wisconsin,06/24/2021,07/14/2021
5432,Repair- MDOT District III Agency Contract for Cable Barrier Repair,Mississippi,06/24/2021,07/13/2021
5433,Mohawk Trail Regional Library carpet replacment,Massachusetts,06/24/2021,07/07/2021
5434,Stream Debris Removal,North Carolina,06/24/2021,07/13/2021
5435,ON I-70 FROM 0.66 MI WEST OF US 231 TO 0.58 MI WEST OF SR 39,Indiana,06/24/2021,07/14/2021
5436,Supplying Fiber Optic Cable 2022,Washington,06/24/2021,07/13/2021
5437,Psychological Evaluations Spanish & Creole,New Jersey,06/24/2021,07/08/2021
5438,Medication Assisted Treatment Products,Oregon,06/24/2021,07/13/2021
5439,RE-BID TORRANCE HIGH SCHOOL VARSITY SOFTBALL COMPLEX,California,06/24/2021,07/13/2021
5440,Strategic Planning,Illinois,06/24/2021,07/13/2021
5441,Water Bottle Filler SY22,Mississippi,06/24/2021,07/13/2021
5442,AUCTIONEER SERVICES,Massachusetts,06/24/2021,07/13/2021
5443,Wastewater Management for LCIW,Louisiana,06/24/2021,07/08/2021
5444,Construction of Varsity Baseball Field and 5 Tennis Courts,Massachusetts,06/24/2021,07/13/2021
5445,Agricultural Services - Prairie Dog Park - Haying,Kansas,06/24/2021,07/13/2021
5446,Arborist Services,Massachusetts,06/24/2021,07/08/2021
5447,Interactive Display Panel SY22,Mississippi,06/24/2021,07/13/2021
5448,"Replacement of water closets at living units, public, and office restrooms",Massachusetts,06/24/2021,07/09/2021
5449,In Person Realtime Video Captioning Services,Minnesota,06/24/2021,07/13/2021
5450,FURNISH AND DELIVER SETTLING AID POLYMER TO THE PVSC FINAL CLARIFIERS FOR A ONE (1) YEAR PERIOD,New Jersey,06/24/2021,07/09/2021
5451,"Facility Repairs, Maintenance, Parts & Supplies, District Wide",Pennsylvania,06/24/2021,07/13/2021
5452,On-Call Plumbing and Heating Services,Massachusetts,06/24/2021,07/09/2021
5453,Educational Evaluations (Spanish & Creole),New Jersey,06/24/2021,07/08/2021
5454,Neurological Evaluations,New Jersey,06/24/2021,07/08/2021
5455,Water Sewer Extension,Massachusetts,06/24/2021,07/08/2021
5456,Psychiatric Evaluations,New Jersey,06/24/2021,07/08/2021
5457,Roof Replacement,Massachusetts,06/24/2021,07/09/2021
5458,FURNISH AND DELIVER VARIOUS HOSE COUPLINGS AND FITTINGS TO THE PVSC WAREHOUSE FOR A ONE (1) YEAR PERIOD,New Jersey,06/24/2021,07/09/2021
5459,HCC A Building Steam Pipe Replacement. Replacement of existing underground insulated steam and condensate lines and related work,Massachusetts,06/24/2021,07/09/2021
5460,Educational Evaluations (Elementary & Secondary),New Jersey,06/24/2021,07/08/2021
5461,Occupational Therapy Direct and Evaluation Services,New Jersey,06/24/2021,07/08/2021
5462,Physical Therapy Direct and Evaluation Services,New Jersey,06/24/2021,07/08/2021
5463,Owner's Project Manager Services for Fire Headquarters,Massachusetts,06/24/2021,07/19/2021
5464,Psychological Evaluations,New Jersey,06/24/2021,07/08/2021
5465,Groundskeeping & Environmental Public Outreach,Massachusetts,06/24/2021,07/06/2021
5466,Copper Tubing,Massachusetts,06/24/2021,07/06/2021
5467,As-Needed Emergency Landscape Services,California,06/24/2021,07/13/2021
5468,Driver Education,Massachusetts,06/24/2021,07/07/2021
5469,Lime Slaker Installation and Repair Services,Florida,06/24/2021,07/13/2021
5470,"LHS Roof, Electriclal",Massachusetts,06/24/2021,07/07/2021
5471,Wexford Volunteer Fire Company - Main Station Second Floor Live-In Kitchen Renovation Improvements,Pennsylvania,06/24/2021,07/13/2021
5472,Crushed Run Gravel,Massachusetts,06/24/2021,07/06/2021
5473,"Annual Material Contracts-Pipes, Castings, and Precast Structures",Massachusetts,06/24/2021,07/08/2021
5474,2021 School Zone Maintenance Signage Improvement Project,Nevada,06/24/2021,07/13/2021
5475,FY22 Highway Division- Line Painting,Massachusetts,06/24/2021,07/08/2021
5476,"2021 Court Recoloring Project, CRP #21-07c",Illinois,06/24/2021,07/13/2021
5477,Painting Exterior of Rochester Ice Arena,New Hampshire,06/24/2021,07/07/2021
5478,"ARC Parking Lot - Paver Repairs Project, MSP #21-09c",Illinois,06/24/2021,07/13/2021
5479,Sewer PVC Fittings,Massachusetts,06/24/2021,07/06/2021
5480,Demolition of house and garage at 278 Burts Pit Road,Massachusetts,06/24/2021,07/13/2021
5481,Preliminary Engineering Reestablish Crystal Creek Project,Illinois,06/24/2021,07/13/2021
5482,RYAN WHITE PART A AND B FISCAL YEAR 2021 NORTH HUDSON SERVICES EXPANSION,New Jersey,06/24/2021,07/13/2021
5483,Construction,Massachusetts,06/24/2021,07/08/2021
5484,New varsity baseball field and 5 tennis courts. Bids for the development of Phase II of the Backus Lane Fields site,Massachusetts,06/24/2021,07/13/2021
5485,SDSU Athletics Football Air Charter Services 2021 REBID,South Dakota,06/24/2021,07/08/2021
5486,22COMKB1 | Kaleidoscope Content Development & Training,Massachusetts,06/24/2021,07/12/2021
5487,Lead Free Brass Fittings,Massachusetts,06/24/2021,07/06/2021
5488,"FY22 Line Painting, Various North Attleboro locations",Massachusetts,06/24/2021,07/08/2021
5489,SVC-TVECOVER/1626 - Metal Carport,Florida,06/24/2021,07/07/2021
5490,Catch Basin Cleaning Services,Massachusetts,06/24/2021,07/08/2021
5491,Pit-style Truck Scale Replacement and Maintenance,Massachusetts,06/24/2021,07/16/2021
5492,Cement Concrete Sidewalks & Granite Curbing 2021,Massachusetts,06/24/2021,07/08/2021
5493,Securing Vacant Buildings,Michigan,06/24/2021,07/12/2021
5494,IFB 2021-12 FIRE ALARM SERVICES,Massachusetts,06/24/2021,07/12/2021
5495,Environmental Engineering Services,Texas,06/24/2021,07/13/2021
5496,Screening Technology Equipment,Massachusetts,06/24/2021,07/12/2021
5497,PATON SCHOOL SIDEWALK IMPROVEMENTS,Massachusetts,06/24/2021,07/13/2021
5498,"2021 Playground Surface Replacement Project, CRP #21-08c",Illinois,06/24/2021,07/13/2021
5499,PATON SCHOOL SIDEWALK IMPROVEMENTS JUNE 2021,Massachusetts,06/24/2021,07/13/2021
5500,GMRSD FLOOR TILE REMEDIATION,Massachusetts,06/24/2021,07/07/2021
5501,UMAPP21-018 Campus - Masonry Trade Labor,Massachusetts,06/24/2021,07/08/2021
5502,Urinalysis Testing for CSCD,Texas,06/24/2021,07/13/2021
5503,Construction of a Varsity Baseball Field & 5 Tennis Courts - 2nd Bid,Massachusetts,06/24/2021,07/13/2021
5504,"Small Office Buildout Project, Hingham Town Hall",Massachusetts,06/24/2021,07/13/2021
5505,Installation of Verkada Door Access Equipment,Massachusetts,06/24/2021,07/08/2021
5506,Re-bid UMAPP21-016 Replacement of buried steam piping,Massachusetts,06/24/2021,07/08/2021
5507,Install Chargepoint CT4021-GW1 dual-port bollard-style chargers including underground service connections,Massachusetts,06/24/2021,07/07/2021
5508,Solar PV and Energy Storage Development for Onsite Generation at the Lexington Fire Station Headquarters,Massachusetts,06/24/2021,07/15/2021
5509,Audio/Video System Project Management Services,California,06/24/2021,07/09/2021
5510,Mohawk Trail Regional School Carpet replacement,Massachusetts,06/24/2021,07/07/2021
5511,Student Transportation Services,Delaware,06/24/2021,07/10/2021
5512,Re-bid Direct Buried Piping Replacement,Massachusetts,06/24/2021,07/08/2021
5513,Damascus Township Park - Phase I Improvements - Rebid,Pennsylvania,06/24/2021,07/09/2021
5514,Tank Removal,Massachusetts,06/24/2021,07/07/2021
5515,PCI Compliance Consulting,Minnesota,06/24/2021,07/09/2021
5516,"Replacement of water closets at living units, public, and office restrooms at two high-rise elderly/disabled developments, Manning Tower and Sullivan Tower in Brockton, MA",Massachusetts,06/24/2021,07/09/2021
5517,Ozone System Process Control Monitoring Analyzers,Nebraska,06/24/2021,07/09/2021
5518,Clothing,New Jersey,06/24/2021,07/09/2021
5519,UCSF Infrastructure Programs Campus Projects,California,06/24/2021,07/07/2021
5520,Forestdale Housing Development Upgrades,Massachusetts,06/24/2021,07/28/2021
5521,Fascia repair at Turkey Hill Middle School,Massachusetts,06/24/2021,07/08/2021
5522,PREQUAL: WEST ZONE WIDE BSL-2 LABS PRESSURIZATION ADJUSTMENT,California,06/24/2021,07/08/2021
5523,Campus - Masonry Trade Labor,Massachusetts,06/24/2021,07/08/2021
5524,2106-910-66-5151 New Roof 410-414 SW 28th St,Texas,06/24/2021,07/06/2021
5525,"HFE – 150 Oil 30,000 GAL",Illinois,06/24/2021,07/08/2021
5526,Automotive Fluids and Lubricants III,Texas,06/24/2021,07/08/2021
5527,Section #21-00000-01-GM Various Streets - Village of Erie,Illinois,06/24/2021,07/02/2021
5528,Cement Concrete Sidewalks & Granite Curbing 2021,Massachusetts,06/24/2021,07/08/2021
5529,Streetlight Maintenance,Massachusetts,06/24/2021,07/08/2021
5530,#10 Printed Double window BRM env. DHR General Services Div.,Alabama,06/24/2021,07/07/2021
5531,"Moving Services, Election Equipment",Michigan,06/24/2021,07/07/2021
5532,Truck Vault Cargo,Kentucky,06/24/2021,07/06/2021
5533,Bridge Painting (Boulder Creek Bridge),Washington,06/24/2021,07/12/2021
5534,New Fairfield High School & Pool Locker Rooms Bid Package,Connecticut,06/24/2021,07/08/2021
5535,New Lafayette High School Replacement,Louisiana,06/24/2021,07/09/2021
5536,Section #21-48000-02-GM Various Roadways - Lyndon Township,Illinois,06/24/2021,07/02/2021
5537,Asbestos Abatement – Various Schools,Massachusetts,06/24/2021,07/07/2021
5538,Shaft Replacement for two Vertical Turbine Pumps,Texas,06/24/2021,07/02/2021
5539,2021 Spray Patching project,Illinois,06/24/2021,07/02/2021
5540,Straub MS Exterior Ground and Drainage,Oregon,06/24/2021,07/13/2021
5541,Ductless Heat Pump Mini-Splits for individual classrooms,Illinois,06/24/2021,Not Stated
5542,IHA RFP Development Partner,Massachusetts,06/24/2021,07/09/2021
5543,Surveying Services at Forsyth County Hall of Justice,North Carolina,06/24/2021,07/09/2021
5544,"Truss components for Pergola project- 60ft long, 30ft wide, 15ft tall",Massachusetts,06/24/2021,07/07/2021
5545,DAIRY PRODUCTS,Illinois,06/24/2021,07/07/2021
5546,Traffic Sign Installation and Maintenance,Kentucky,06/24/2021,07/06/2021
5547,Parking Lot Re-Construction and Paving Project,Ohio,06/24/2021,07/02/2021
5548,Removal and replacement of sewage disposal systems at 6-8 Grassy Pond Drive and 6-8 Ellis Drive,Massachusetts,06/24/2021,07/09/2021
5549,Consultant to Conduct Facilitation Services,Ohio,06/24/2021,07/09/2021
5550,Parking Lot Expansion,Texas,06/24/2021,07/12/2021
5551,Sole Source Designation - Envisio Solutions Inc. Software for Strategic Planning,Florida,06/24/2021,07/01/2021
5552,License Plate Mailing Envelopes,Florida,06/24/2021,07/01/2021
5553,"Conceptual Design Eng for New Well #20, Transmission Main, and WTP#4 Upgrades",Illinois,06/24/2021,07/09/2021
5554,"Generator Servicing, Repair and Maintenance",New York,06/24/2021,07/09/2021
5555,Replacement of The Town Hall Septic System,Massachusetts,06/24/2021,07/09/2021
5556,DEFIANCE DR DRAINAGE REPAIR,Louisiana,06/24/2021,07/08/2021
5557,Owner's Project Manager - HVAC Replacement at Public Safety Building,Massachusetts,06/24/2021,07/09/2021
5558,Roofing replacement at 3 one story buildings at the 667-2 Central Park Terrace Elderly Housing,Massachusetts,06/24/2021,07/09/2021
5559,Lone Worker Emergency Alert System,Iowa,06/24/2021,07/28/2021
5560,Eastside Elementary Camera Replacement Bid,Wyoming,06/24/2021,07/26/2021
5561,Prickett Window Replacement,Delaware,06/24/2021,07/27/2021
5562,A/C Compressor Crankshaft,Pennsylvania,06/24/2021,07/08/2021
5563,"Asphalt Repairs & Sealcoating at Hudson High School, Hudson, Massachusetts, in accordance with the Contract Documents prepared by Hudson Public Schools",Massachusetts,06/24/2021,07/07/2021
5564,Hall Effect Sensor,Pennsylvania,06/24/2021,07/08/2021
5565,Prairie Lakes Boiler Replacement Project,Illinois,06/24/2021,07/08/2021
5566,Mirror Assembly,Pennsylvania,06/24/2021,07/08/2021
5567,MoDOT Statewide Fall Aggregate,Missouri,06/24/2021,07/08/2021
5568,FY 2020-21 Street Improvements ADA Ramp (Golden Avenue),California,06/24/2021,07/08/2021
5569,2021 Transfer Trailer,Iowa,06/24/2021,07/08/2021
5570,South Shore Boulevard Right of Way Acquisition Services,Minnesota,06/24/2021,07/08/2021
5571,San Luis Rey Maintenance Building Project,California,06/24/2021,08/19/2021
5572,22-SB-235988-FP UMSL North Tunnel Dry Standpipe,Missouri,06/24/2021,07/08/2021
5573,Diesel Fuel and Gasoline,Texas,06/24/2021,07/08/2021
5574,Newton School Parking Lot Improvements,Massachusetts,06/24/2021,07/08/2021
5575,On-call Hourly Rate HVAC Service for Hudson Public Schools,Massachusetts,06/24/2021,07/07/2021
5576,Volkswagen Atlas SE with Technology,Tennessee,06/24/2021,07/08/2021
